cq,group,gold_rows,shift_verdict,shift_blocker,shift_rows,shift_matched,shift_constraint_not_enforced,saref_verdict,saref_blocker,saref_rows,saref_matched,saref_constraint_not_enforced,saref_ext_verdict,saref_ext_blocker,saref_ext_rows,saref_ext_matched,saref_ext_constraint_not_enforced,seas_verdict,seas_blocker,seas_rows,seas_matched,seas_constraint_not_enforced
CQ-01,A,22,ANSWERABLE,,22,True,,NOT-EXPRESSIBLE,"No agent class. SAREF Core has no Actor, Person or Organisation, and no ownership property.",,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No ownership property either.",,,,ANSWERABLE,,22,True,
CQ-02,A,26,ANSWERABLE,,26,True,,NOT-EXPRESSIBLE,No agent class and no market-transaction class.,,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No market-transaction class.",,,,PARTIAL,"seas:Selling/Trading/Transaction exist as classes but carry no properties: nothing links a transaction to its seller, its volume, its time or a confirmation status.",,,
CQ-03,A,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,"No agent class, no role model, no region or location term in Core.",,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No region term.",,,,PARTIAL,"seas:Role/hasRole and seas:Operator/Aggregator/EndUser give the market role, but no property associates an Actor with a region or zone (seas:location is a PropertyKey on FeatureOfInterest; seas:Actor is an AbstractEntity).",,,
CQ-04,A,8,ANSWERABLE,,8,True,,NOT-EXPRESSIBLE,"No agent class, no group or community class, no trust relation.",,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No community class and no trust relation.",,,,NOT-EXPRESSIBLE,No community or group class and no membership property for actors; seas:GroupManager exists but the group it manages does not. No trust relation.,,,
CQ-05,A,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,No agent or aggregator class.,,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No aggregator class.",,,,PARTIAL,"seas:Aggregator exists, but SEAS declares no compliance, trust or prequalification properties, so participation requirements cannot be tested.",,,
CQ-06,B,1,ANSWERABLE,,1,True,,PARTIAL,Controllability is expressible (saref:Actuator/Function/Command). Missing: a siting term for node N (saref4bldg:BuildingSpace is an extension) and any response-time property (s4ener territory).,3,False,,PARTIAL,"s4ener:hasActivationDelay (xsd:duration, no declared domain) supplies the response-time constraint Core lacked. Still missing: a grid-node term -- s4bldg adds Building and BuildingSpace, which are spatial containers, not network nodes.",12,False,,PARTIAL,"Siting is expressible via seas:ConnectionPoint/Zone. Missing: any response-time property, and a device-level controllability flag (seas:ControlActivity describes the act, not the capability).",,,
CQ-07,B,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,"No agent class or ownership property, and no storage-capability term in Core.",,,,PARTIAL,"s4ener:Storage and the RoleType individual EnergyStorage supply the storage capability Core lacked; availability comes from saref:hasState. Still missing: Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor.",11,False,,PARTIAL,"seas:owns plus seas:Battery/EnergyStorage give the storage-capable assets of an actor. Missing: availability -- the seas operating codelist carries ratings (op-Nominal, op-Min, op-Maximum-*), not an available/unavailable state.",,,
CQ-08,B,12,ANSWERABLE,,12,True,,PARTIAL,"saref:CommandExecution with saref:hasTimestamp supplies the denominator. Missing: any outcome or status property on an execution, so failures cannot be counted.",32,False,,ANSWERABLE,,12,True,,PARTIAL,"seas:Failure and seas:failure can mark a failed feature of interest. Missing: an activation-attempt event class, so the denominator of a failure ratio has no term.",,,
CQ-09,B,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,No building class in SAREF Core (saref4bldg:Building is an extension) and no heat-pump or battery device kinds in Core (s4ener/s4bldg).,,,,PARTIAL,"s4bldg:Building, s4bldg:contains and s4bldg:ElectricFlowStorageDevice make the building and the battery exact. Still missing: a heat-pump class -- NEITHER extension declares one (zero occurrences in both files); the nearest, s4bldg:EnergyConversionDevice, is far broader and also subsumes s4bldg:SolarDevice.",1,True,"Rows match, but s4bldg:EnergyConversionDevice is broader than a heat pump and also subsumes s4bldg:SolarDevice.",ANSWERABLE,,1,True,
CQ-10,C,6,ANSWERABLE,,6,True,,NOT-EXPRESSIBLE,saref:Service exists but there is no siting term and no committed-capacity property.,,,,PARTIAL,"s4ener:PowerLimit, PowerEnvelope and FlexOffer express a committed capacity, which Core could not. Still missing: a grid-node siting term and a service-activity status.",,,,PARTIAL,Committed capacity is expressible as a seas:Evaluation interpreted through the flexibility codelist. Missing: a service activity status and any service-to-node siting property.,,,
